iter	Logloss
0	0.6859329879
1	0.677179531
2	0.6689933099
3	0.662178882
4	0.6552237452
5	0.648866281
6	0.642502091
7	0.6362597128
8	0.6296436939
9	0.6239514782
10	0.6173750718
11	0.6115331159
12	0.6055796709
13	0.6002420924
14	0.5948724659
15	0.5893870422
16	0.5846061271
17	0.5787772436
18	0.5732949062
19	0.5686009864
20	0.5632288713
21	0.5592050457
22	0.554673316
23	0.5499482891
24	0.5455606084
25	0.5399753038
26	0.5348783574
27	0.5300412665
28	0.526409785
29	0.5222931051
30	0.5175991666
31	0.5140329598
32	0.5104060491
33	0.5070401367
34	0.5035809695
35	0.500275486
36	0.4961607744
37	0.4927734008
38	0.4896257953
39	0.4863185234
40	0.4825018066
41	0.4787083644
42	0.4763699582
43	0.4735385032
44	0.4709390662
45	0.467810876
46	0.4647000852
47	0.4625456148
48	0.4597339829
49	0.4569404167
50	0.4544102556
51	0.4520365327
52	0.449917077
53	0.4467849726
54	0.4446351335
55	0.4421079203
56	0.4400463916
57	0.4374273604
58	0.4350351602
59	0.4328782437
60	0.4301779162
61	0.4285826793
62	0.4264080987
63	0.4246926488
64	0.422718287
65	0.4212012399
66	0.4189473263
67	0.4172508733
68	0.4157928355
69	0.4146752575
70	0.4124203277
71	0.4100907946
72	0.4081125932
73	0.406900483
74	0.405478901
75	0.4044529036
76	0.4031084262
77	0.4011302572
78	0.399357614
79	0.3980378191
80	0.3966861519
81	0.3950328602
82	0.3935721749
83	0.3922844753
84	0.3909186547
85	0.3887556754
86	0.3868390786
87	0.3855877349
88	0.3843142716
89	0.3831912751
90	0.3819545396
91	0.3802959228
92	0.3785698608
93	0.3769924325
94	0.3759623896
95	0.3745017688
96	0.3737590944
97	0.3729320254
98	0.3719784444
99	0.3711285308
100	0.3698866453
101	0.368232407
102	0.3671659107
103	0.3664942238
104	0.3651922386
105	0.3642339071
106	0.3629697905
107	0.3618182235
108	0.3609991587
109	0.3599739014
110	0.3584057163
111	0.3574026095
112	0.3561690547
113	0.3549364089
114	0.3536904016
115	0.3527819897
116	0.3522587917
117	0.3510149063
118	0.349665386
119	0.3483297567
120	0.3470531911
121	0.3458674097
122	0.3445895782
123	0.3436898933
124	0.3429166067
125	0.341988845
126	0.3412181786
127	0.3402126798
128	0.339324834
129	0.3385259047
130	0.3376592447
131	0.3371401722
132	0.3361626253
133	0.335163569
134	0.334351869
135	0.333247756
136	0.3323634629
137	0.3315513485
138	0.3310787222
139	0.3304059714
140	0.3295614587
141	0.3287918722
142	0.3282284732
143	0.3276357711
144	0.3271196757
145	0.3263994729
146	0.3257002047
147	0.325086003
148	0.3242346156
149	0.323526143
150	0.3228842763
151	0.3222005594
152	0.3216381502
153	0.3205583191
154	0.319811844
155	0.31937482
156	0.3187105375
157	0.3180689431
158	0.317753639
159	0.3170263091
160	0.3163848254
161	0.3154650256
162	0.314887581
163	0.3145445538
164	0.3140500816
165	0.3134963624
166	0.3130146174
167	0.3122497324
168	0.3116199952
169	0.3108891669
170	0.3102055203
171	0.3093186567
172	0.3084610008
173	0.3078114457
174	0.3074171637
175	0.3070886503
176	0.3065624714
177	0.3059056093
178	0.3054328346
179	0.3048328806
180	0.3044672119
181	0.3036041005
182	0.3030504049
183	0.3027308262
184	0.3022288697
185	0.3016102743
186	0.3010510505
187	0.3005787035
188	0.3002315365
189	0.2999448522
190	0.2992093455
191	0.2986727272
192	0.2981874874
193	0.2977938982
194	0.2971269824
195	0.2967945895
196	0.2963651402
197	0.2957046118
198	0.2950562323
199	0.2946852964
200	0.2944115181
201	0.2940668914
202	0.2936124584
203	0.2930624144
204	0.2924492689
205	0.2917145699
206	0.291324207
207	0.2906752247
208	0.2902769871
209	0.2895780546
210	0.2890646537
211	0.2886717258
212	0.2881087222
213	0.2875145804
214	0.2870425505
215	0.2867644304
216	0.2862976455
217	0.2858294318
218	0.285208047
219	0.2847321409
220	0.2843453336
221	0.2837811081
222	0.2832735714
223	0.2828551084
224	0.282502089
225	0.2817250842
226	0.2812258336
227	0.2808037735
228	0.2803706215
229	0.2801782344
230	0.2796470741
231	0.2791966937
232	0.2787872582
233	0.278269191
234	0.2778874287
235	0.2773737684
236	0.2770626906
237	0.2765975431
238	0.2763774718
239	0.2758352696
240	0.2753111769
241	0.2748938009
242	0.2745514805
243	0.274165781
244	0.2736124507
245	0.2729543822
246	0.2724872096
247	0.2721030995
248	0.2718720988
249	0.2713824356
250	0.27091829
251	0.2704455762
252	0.2699586377
253	0.2696253482
254	0.2693315057
255	0.26902066
256	0.2686086105
257	0.2682031046
258	0.2678711505
259	0.2675616476
260	0.2671552576
261	0.2668814556
262	0.2664865412
263	0.2659559201
264	0.2656043697
265	0.2652365391
266	0.2651912881
267	0.264832084
268	0.2644684694
269	0.2640264332
270	0.2636928167
271	0.2632528531
272	0.2628905444
273	0.2623006816
274	0.2619116842
275	0.2615231711
276	0.2609559177
277	0.260530866
278	0.2601531125
279	0.259940658
280	0.259468654
281	0.2592331356
282	0.2590661587
283	0.2588123875
284	0.2584136053
285	0.25805544
286	0.2577449082
287	0.2572557807
288	0.2568004368
289	0.2564300829
290	0.2558385631
291	0.2555727259
292	0.255233736
293	0.2548138008
294	0.2543327978
295	0.2540294435
296	0.253704821
297	0.2534148976
298	0.2530283905
299	0.2525622495
300	0.2522202329
301	0.2518606385
302	0.2514453303
303	0.251070925
304	0.2506040833
305	0.2503346062
306	0.2500386728
307	0.2496012058
308	0.2492932465
309	0.2490128898
310	0.2487391453
311	0.248359832
312	0.2481135581
313	0.2477836821
314	0.247337019
315	0.2469825562
316	0.2465723305
317	0.2459972043
318	0.2456128853
319	0.2451883191
320	0.2447952082
321	0.2443845954
322	0.243989004
323	0.2438560773
324	0.2434725035
325	0.2431574558
326	0.2427531107
327	0.2423696299
328	0.2419639564
329	0.2416979608
330	0.2414620698
331	0.2411286077
332	0.2407297619
333	0.2403472302
334	0.2401217255
335	0.2396477362
336	0.2393888771
337	0.2388037544
338	0.2384389677
339	0.2381130861
340	0.2376469771
341	0.237241343
342	0.2369241842
343	0.2366407813
344	0.2362084715
345	0.235926923
346	0.2356697283
347	0.235472495
348	0.2351942217
349	0.2349301788
350	0.2347246189
351	0.2344643292
352	0.2341630054
353	0.2338028272
354	0.2336443069
355	0.2334734754
356	0.233111102
357	0.2328713876
358	0.2326666211
359	0.2324053227
360	0.2320044831
361	0.2316751799
362	0.2314949007
363	0.231132656
364	0.2306783242
365	0.2303833454
366	0.2300027344
367	0.2298261892
368	0.2295664606
369	0.2292253751
370	0.2290350893
371	0.2287981514
372	0.2284576964
373	0.2281329385
374	0.2277148906
375	0.2273662822
376	0.2269426188
377	0.2266027942
378	0.2261865154
379	0.226011601
380	0.2255930919
381	0.2252726333
382	0.224961761
383	0.224805523
384	0.2243879308
385	0.2242969963
386	0.2239405757
387	0.2235988432
388	0.2233386572
389	0.2231120328
390	0.222655007
391	0.2222203341
392	0.221838007
393	0.2215519888
394	0.2211122473
395	0.2208114532
396	0.2205966993
397	0.2201715443
398	0.2199543792
399	0.219704354
400	0.2195187893
401	0.219369123
402	0.2191978121
403	0.2190971098
404	0.2187734598
405	0.2185806788
406	0.2183860275
407	0.2181588856
408	0.2179740391
409	0.217640092
410	0.2174991706
411	0.2171617651
412	0.2167980836
413	0.2165846525
414	0.2162988051
415	0.2159850423
416	0.2157282321
417	0.2155606332
418	0.2151067762
419	0.2148767282
420	0.2145378255
421	0.214295977
422	0.2139585258
423	0.2136887457
424	0.2134084372
425	0.2131656075
426	0.2129432866
427	0.2127716568
428	0.2125652745
429	0.2123291482
430	0.2121585557
431	0.2118780886
432	0.211553555
433	0.2112071634
434	0.2110291164
435	0.2108134327
436	0.2105551302
437	0.2103659519
438	0.2100147403
439	0.2097312096
440	0.2093767068
441	0.2093068053
442	0.2089606798
443	0.2087603262
444	0.2085748489
445	0.2083479796
446	0.2081270321
447	0.2079038099
448	0.2077567217
449	0.2073343562
450	0.2071390187
451	0.2069026155
452	0.2065877241
453	0.2064169145
454	0.2061196425
455	0.2058632717
456	0.2056100459
457	0.2054453168
458	0.2051004204
459	0.2048532463
460	0.2046186859
461	0.2042820181
462	0.2041878084
463	0.2039739412
464	0.2037679257
465	0.2035034261
466	0.2033040265
467	0.2030299941
468	0.2027934395
469	0.2024943111
470	0.202309344
471	0.2021732385
472	0.2020430453
473	0.2018287004
474	0.2017057822
475	0.2015516011
476	0.2012392676
477	0.2009708417
478	0.2007162201
479	0.2003191695
480	0.2001934816
481	0.2000390448
482	0.1997221341
483	0.1996411663
484	0.1994012695
485	0.1992251184
486	0.1989708129
487	0.1987782008
488	0.1985265439
489	0.1984223574
490	0.198263293
491	0.1980324422
492	0.1978838992
493	0.1975984723
494	0.1974964011
495	0.1971816627
496	0.1969511157
497	0.1967353741
498	0.1964232432
499	0.1961101117
500	0.1958116033
501	0.1954930085
502	0.1952744898
503	0.1950595062
504	0.1948479654
505	0.1945242942
506	0.1943282024
507	0.1940206554
508	0.1937848356
509	0.1935754656
510	0.1934252334
511	0.1932199195
512	0.1930381823
513	0.1927525864
514	0.1925463483
515	0.1922472779
516	0.1920748355
517	0.1918835115
518	0.1916986084
519	0.1913285721
520	0.1910224307
521	0.1908436186
522	0.1905431345
523	0.1903866899
524	0.1901225694
525	0.1898641168
526	0.1896187012
527	0.189437242
528	0.1892430135
529	0.18895561
530	0.1886485249
531	0.1883776503
532	0.1882145821
533	0.1880013071
534	0.187750441
535	0.1875897086
536	0.1873421042
537	0.1870423789
538	0.1867509067
539	0.1866614371
540	0.1864709621
541	0.1862647584
542	0.1859325928
543	0.1856476608
544	0.1853611917
545	0.1851453233
546	0.1849001872
547	0.1846924843
548	0.1844159267
549	0.1841856423
550	0.1839104156
551	0.1835905092
552	0.1833188182
553	0.1830425349
554	0.1828699487
555	0.1827511638
556	0.1825673015
557	0.1823464138
558	0.1821011739
559	0.181951607
560	0.1817672481
561	0.1815800573
562	0.1814986247
563	0.1813903885
564	0.1812291666
565	0.1810645597
566	0.1808515103
567	0.180666859
568	0.1805231076
569	0.1802989844
570	0.1800477917
571	0.1798899881
572	0.1796498814
573	0.1795890454
574	0.1793323001
575	0.1790920043
576	0.1790381329
577	0.1789108586
578	0.1787182977
579	0.1784327456
580	0.1782527907
581	0.177973637
582	0.1777531285
583	0.177504452
584	0.1772169805
585	0.1769461619
586	0.1767405244
587	0.17654812
588	0.1763864896
589	0.1761006663
590	0.1758077691
591	0.1756768398
592	0.1754480479
593	0.1752303829
594	0.1750649847
595	0.1747980336
596	0.1746174521
597	0.1745573969
598	0.1743951654
599	0.1741800424
600	0.173991869
601	0.173727551
602	0.1733477297
603	0.1730363945
604	0.1726909502
605	0.1726773141
606	0.1723862953
607	0.1721192518
608	0.1717632052
609	0.171585768
610	0.1713263182
611	0.1710112303
612	0.1707980155
613	0.1706730364
614	0.1704417457
615	0.1701197268
616	0.169906046
617	0.1696908884
618	0.169403427
619	0.1692302723
620	0.1689759925
621	0.168775606
622	0.1685798677
623	0.1682574741
624	0.1680443245
625	0.1678291078
626	0.1675595175
627	0.16745412
628	0.1673039652
629	0.1671476747
630	0.1669206807
631	0.1667337915
632	0.16653096
633	0.1663294865
634	0.1661462443
635	0.1658848106
636	0.1657487516
637	0.1654312969
638	0.1651381352
639	0.1650330557
640	0.1648171532
641	0.1645699145
642	0.1644430001
643	0.1642766942
644	0.1641343584
645	0.1640544668
646	0.1638262414
647	0.163644882
648	0.1635191337
649	0.1633766244
650	0.1632418368
651	0.1630790501
652	0.1629644199
653	0.1628296659
654	0.1626161578
655	0.1623336462
656	0.1620747937
657	0.1617930472
658	0.1615586854
659	0.1613561185
660	0.1612259044
661	0.1610417063
662	0.1607938331
663	0.1605832923
664	0.1603792968
665	0.1602398855
666	0.1599678404
667	0.1596535034
668	0.1594598928
669	0.1592497717
670	0.1590498113
671	0.1588952223
672	0.1586595738
673	0.1585413374
674	0.1582718048
675	0.158097298
676	0.1579317075
677	0.1577725767
678	0.1576209226
679	0.1574073338
680	0.1570737492
681	0.1569201013
682	0.1568331424
683	0.1566654518
684	0.156431487
685	0.156169118
686	0.1561134215
687	0.1559011425
688	0.1557730295
689	0.1556329274
690	0.1554279495
691	0.1553704961
692	0.1551670811
693	0.154992277
694	0.1548081824
695	0.1546899765
696	0.1544037144
697	0.1541954804
698	0.1539808602
699	0.1538047375
700	0.1535908173
701	0.1533340991
702	0.1532088074
703	0.1529681014
704	0.1528589098
705	0.1526794266
706	0.1525250182
707	0.1522638711
708	0.15209824
709	0.151908529
710	0.151809032
711	0.1517054294
712	0.1514896234
713	0.1513226851
714	0.1511100458
715	0.1509358521
716	0.1506941333
717	0.1505057861
718	0.1502080848
719	0.1499787493
720	0.1498980692
721	0.1497723502
722	0.1495926502
723	0.1494144959
724	0.149282936
725	0.1491277499
726	0.1489808021
727	0.1487054187
728	0.1485586395
729	0.1483672928
730	0.1482274142
731	0.1481094281
732	0.1479922258
733	0.1476246639
734	0.1474692005
735	0.1473002828
736	0.1472400268
737	0.146975806
738	0.1469032883
739	0.1467402671
740	0.1465326984
741	0.1464518975
742	0.1462041934
743	0.1460237634
744	0.145913524
745	0.1457626457
746	0.1455439239
747	0.1453974134
748	0.1452039525
749	0.1449765477
750	0.1447289503
751	0.1445411071
752	0.1442758497
753	0.1440371867
754	0.143694881
755	0.1434778656
756	0.1432705247
757	0.1429821276
758	0.1428524298
759	0.1427663496
760	0.142577064
761	0.1423827257
762	0.1422223813
763	0.1420991169
764	0.142048786
765	0.1419007363
766	0.1417326678
767	0.1415702887
768	0.141417207
769	0.1412385308
770	0.1410622596
771	0.1408999241
772	0.1407383675
