iter	Passed	Remaining
192	297	1245
193	298	1241
194	299	1237
195	300	1233
196	301	1229
197	302	1225
198	303	1221
199	304	1217
200	305	1213
201	306	1209
202	307	1205
203	308	1202
204	309	1198
205	309	1194
206	310	1190
207	311	1186
208	312	1183
209	313	1179
210	315	1178
211	316	1175
212	317	1171
213	318	1168
214	319	1164
215	319	1161
216	320	1157
217	321	1154
218	322	1150
219	323	1146
220	324	1143
221	325	1140
222	326	1137
223	327	1134
224	328	1131
225	329	1127
226	330	1124
227	331	1120
228	332	1117
229	333	1115
230	333	1111
231	334	1108
232	335	1105
233	336	1102
234	337	1099
235	338	1097
236	339	1094
237	341	1092
238	341	1088
239	342	1085
240	343	1082
241	344	1079
242	345	1076
243	346	1073
244	347	1070
245	348	1068
246	349	1065
247	350	1062
248	351	1060
249	352	1057
250	353	1054
251	354	1051
252	355	1048
253	356	1046
254	357	1044
255	358	1041
256	359	1039
257	360	1036
258	361	1033
259	362	1030
260	363	1027
261	363	1025
262	365	1023
263	366	1020
264	367	1018
265	368	1016
266	368	1011
267	369	1009
268	370	1006
269	371	1003
270	372	1001
271	373	998
272	374	996
273	375	995
274	376	992
275	377	989
276	378	987
277	379	984
278	379	981
279	381	980
280	382	978
281	383	975
282	384	973
283	385	971
284	386	968
285	386	966
286	387	963
287	388	960
288	389	958
289	390	956
290	391	954
291	392	951
292	393	949
293	394	947
294	395	944
295	396	942
296	397	940
297	398	938
298	399	935
299	400	933
300	401	931
301	402	929
302	402	927
303	403	924
304	404	922
305	405	920
306	406	918
307	407	916
308	408	913
309	409	911
310	410	909
311	411	906
312	412	906
313	413	904
314	415	903
315	416	901
316	417	898
317	418	896
318	418	894
319	419	892
320	420	890
321	421	888
322	423	886
323	424	884
324	425	882
325	425	880
326	426	878
327	427	876
328	428	874
329	429	872
330	430	870
331	431	868
332	432	866
333	433	864
334	434	862
335	435	860
336	436	857
337	436	855
338	437	853
339	438	851
340	439	849
341	440	847
342	441	845
343	442	843
344	443	841
345	444	839
346	444	837
347	445	835
348	446	833
349	447	831
350	449	830
351	449	828
352	450	826
353	451	824
354	452	822
355	453	820
356	454	818
357	455	816
358	456	814
359	457	812
360	458	811
361	459	809
362	460	807
363	460	805
364	461	803
365	462	801
366	463	799
367	464	798
368	465	796
369	466	794
370	467	792
371	468	790
372	469	789
373	470	787
374	471	785
375	472	783
376	473	782
377	474	780
378	475	779
379	476	777
380	477	775
381	478	774
382	479	772
383	481	771
384	482	770
385	483	768
386	483	766
387	484	764
388	485	763
389	486	761
390	487	760
391	489	758
392	489	756
393	490	755
394	491	753
395	493	752
396	494	751
397	495	749
398	496	748
399	497	746
400	498	745
401	499	743
402	500	741
403	501	740
404	502	738
405	503	736
406	504	735
407	505	733
408	506	731
409	507	730
410	508	728
411	509	726
412	510	725
413	511	723
414	512	721
415	512	720
416	514	719
417	515	717
418	516	716
419	517	714
420	518	712
421	519	710
422	519	709
423	520	707
424	521	705
425	522	704
426	523	702
427	524	700
428	525	699
429	526	697
430	527	695
431	527	694
432	528	692
433	529	690
434	530	689
435	531	687
436	532	686
437	533	684
438	534	682
439	535	681
440	536	679
441	537	678
442	538	676
443	539	675
444	540	673
445	540	671
446	541	670
447	542	668
448	543	667
449	544	665
450	545	663
451	546	662
452	547	660
453	548	659
454	548	657
455	549	655
456	550	654
457	551	652
458	552	651
459	553	649
460	554	648
461	555	646
462	556	645
463	557	643
464	558	642
465	559	641
466	560	639
467	561	638
468	562	636
469	563	635
470	564	634
471	565	632
472	566	631
473	567	629
474	568	627
475	568	626
476	569	624
477	570	623
478	571	621
479	572	620
480	573	619
481	574	617
482	575	615
483	576	614
484	577	612
485	578	611
486	579	610
487	580	608
488	581	607
489	581	605
490	582	604
491	583	602
492	584	601
493	585	599
494	586	598
495	587	596
496	588	595
497	589	593
498	589	592
499	590	590
500	591	589
501	592	587
502	593	586
503	594	584
504	595	583
505	596	581
506	597	580
507	597	579
508	598	577
509	599	576
510	600	574
511	601	573
512	602	572
513	603	570
514	604	569
515	605	567
516	606	566
517	607	564
518	607	563
519	608	562
520	609	560
521	610	559
522	611	557
523	612	556
524	613	555
525	614	553
526	615	552
527	616	550
528	616	549
529	617	547
530	618	546
531	619	545
532	620	543
533	621	542
534	622	541
535	623	539
536	624	538
537	625	536
538	626	535
539	627	534
540	627	532
541	628	531
542	629	530
543	630	528
544	631	527
545	633	526
546	633	525
547	634	523
548	635	522
549	636	520
550	637	519
551	638	518
552	639	516
553	640	515
554	641	514
555	642	512
556	642	511
557	644	510
558	645	508
559	645	507
560	646	506
561	647	504
562	648	503
563	649	502
564	650	500
565	651	499
566	652	498
567	653	496
568	654	495
569	655	494
570	656	493
571	657	491
572	658	490
573	658	489
574	659	487
575	660	486
576	661	485
577	662	483
578	663	482
579	664	481
580	665	479
581	666	478
582	667	477
583	668	475
584	668	474
585	669	473
586	670	472
587	671	470
588	672	469
589	673	468
590	674	466
591	675	465
592	676	464
593	677	462
594	678	461
595	679	460
596	679	458
597	680	457
598	681	456
599	682	454
600	682	453
601	683	452
602	684	450
603	685	449
604	686	448
605	687	446
606	688	445
607	689	444
608	690	443
609	690	441
610	691	440
611	692	439
612	693	438
613	694	436
614	696	435
615	697	434
616	697	433
617	698	431
618	699	430
619	700	429
620	701	428
621	702	426
622	703	425
623	704	424
624	705	423
625	706	422
626	707	420
627	708	419
628	709	418
629	710	417
630	711	415
631	712	414
632	713	413
633	713	412
634	714	410
635	715	409
636	716	408
637	717	407
638	718	405
639	719	404
640	720	403
641	721	402
642	721	400
643	722	399
644	723	398
645	724	397
646	725	395
647	726	394
648	727	393
649	728	392
650	729	391
651	730	389
652	731	388
653	732	387
654	733	386
655	734	385
656	735	383
657	736	382
658	737	381
659	737	380
660	738	378
661	739	377
662	740	376
663	741	375
664	742	373
665	743	372
666	744	371
667	745	370
668	746	369
669	747	368
670	748	366
671	749	365
672	749	364
673	750	363
674	751	361
675	752	360
676	753	359
677	754	358
678	755	357
679	756	355
680	757	354
681	757	353
682	758	352
683	759	351
684	760	349
685	761	348
686	762	347
687	763	346
688	764	344
689	765	343
690	765	342
691	766	341
692	767	340
693	769	339
694	770	338
695	771	336
696	772	335
697	772	334
698	773	333
699	774	332
700	775	330
701	776	329
702	777	328
703	778	327
704	779	326
705	780	324
706	781	323
707	782	322
708	783	321
709	783	320
710	785	319
711	786	318
712	787	316
713	788	315
714	789	314
715	790	313
716	790	312
717	791	310
718	792	309
719	793	308
720	794	307
721	795	306
722	796	305
723	797	304
724	798	302
725	799	301
726	800	300
727	801	299
728	802	298
729	803	297
730	804	295
731	804	294
732	805	293
733	806	292
734	807	291
735	808	289
736	809	288
737	810	287
738	811	286
739	812	285
740	813	284
741	813	283
742	814	281
743	815	280
744	816	279
745	817	278
746	818	277
747	821	276
748	822	275
749	823	274
750	824	273
751	826	272
752	828	271
753	829	270
754	831	269
755	833	269
756	835	268
757	836	267
758	837	266
759	839	264
760	840	263
761	841	262
762	843	262
763	844	260
764	845	259
765	846	258
766	847	257
767	848	256
768	850	255
769	851	254
770	852	253
771	853	252
772	854	250
773	855	249
774	856	248
775	858	247
776	860	246
777	862	246
778	864	245
779	865	244
780	868	243
781	870	242
782	871	241
783	872	240
784	873	239
785	875	238
786	876	237
787	877	236
788	879	235
789	880	234
790	882	233
791	883	231
792	884	230
793	886	229
794	887	228
795	888	227
796	889	226
797	890	225
798	891	224
799	893	223
800	894	222
801	895	221
802	896	220
803	898	218
804	900	218
805	902	217
806	903	216
807	905	215
808	908	214
809	909	213
810	910	212
811	912	211
812	913	210
813	914	209
814	916	207
815	917	206
816	918	205
817	919	204
818	920	203
819	921	202
820	923	201
821	925	200
822	927	199
823	928	198
824	930	197
825	932	196
826	933	195
827	935	194
828	936	193
829	938	192
830	939	191
831	941	190
832	942	188
833	943	187
834	945	186
835	946	185
836	947	184
837	948	183
838	949	182
839	951	181
840	952	180
841	954	179
842	955	177
843	956	176
844	958	175
845	959	174
846	960	173
847	961	172
848	962	171
849	964	170
850	966	169
851	967	168
852	968	166
853	969	165
854	970	164
855	972	163
856	974	162
857	975	161
858	976	160
859	977	159
860	979	158
861	980	157
862	983	156
863	985	155
864	987	154
865	990	153
866	992	152
867	993	151
868	995	150
869	997	148
870	998	147
871	999	146
872	1000	145
873	1001	144
874	1002	143
875	1003	142
876	1004	140
877	1005	139
878	1006	138
879	1007	137
880	1008	136
881	1009	135
882	1010	133
883	1011	132
884	1013	131
885	1014	130
886	1016	129
887	1018	128
888	1019	127
889	1020	126
890	1021	125
891	1022	123
892	1024	122
893	1025	121
894	1026	120
895	1027	119
896	1028	118
897	1029	116
898	1030	115
899	1031	114
900	1033	113
901	1034	112
902	1035	111
903	1036	110
904	1037	108
905	1039	107
906	1040	106
907	1041	105
908	1042	104
909	1043	103
910	1044	102
911	1045	100
912	1047	99
913	1048	98
914	1049	97
915	1050	96
916	1051	95
917	1052	94
918	1055	93
919	1057	91
920	1059	90
921	1061	89
922	1062	88
923	1064	87
924	1065	86
925	1066	85
926	1067	84
927	1068	82
928	1070	81
929	1072	80
930	1073	79
931	1074	78
932	1075	77
933	1076	76
934	1077	74
935	1080	73
936	1082	72
937	1084	71
938	1086	70
939	1087	69
940	1088	68
941	1089	67
942	1090	65
943	1092	64
944	1093	63
945	1094	62
946	1096	61
947	1098	60
948	1100	59
949	1102	58
950	1104	56
951	1105	55
952	1106	54
953	1108	53
954	1109	52
955	1111	51
956	1111	49
957	1113	48
958	1114	47
959	1115	46
960	1116	45
961	1117	44
962	1119	43
963	1121	41
964	1122	40
965	1124	39
966	1125	38
967	1126	37
968	1128	36
969	1129	34
970	1130	33
971	1132	32
972	1132	31
973	1134	30
974	1135	29
975	1136	27
976	1138	26
977	1139	25
978	1140	24
979	1141	23
980	1142	22
981	1144	20
982	1145	19
983	1146	18
984	1147	17
985	1148	16
986	1149	15
987	1152	13
988	1153	12
989	1154	11
990	1155	10
991	1157	9
992	1158	8
993	1159	6
994	1160	5
995	1162	4
996	1163	3
997	1164	2
998	1165	1
999	1166	0
